,Title,ROUND,Paragraph,speaker,speaker_title,speaker_role,text
0,ABN AMRO Bank N.V. - ShareholderAnalyst Call,QA,0,Unknown Attendee,,ATTENDEES,[Interpreted] Yes. My question is -- it's not quite clear how things are working. Are you asking for questions from shareholders out around the country or me?
1,ABN AMRO Bank N.V. - ShareholderAnalyst Call,QA,1,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"[Interpreted] As I said, the way we're doing it is that shareholders and holders of depositary receipts who are taking part online may have asked questions in line and have been able to submit questions, then we give you the floor, sir."
2,ABN AMRO Bank N.V. - ShareholderAnalyst Call,QA,2,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"If anyone has any follow-up questions online, they ask them next. So if you have any questions on this agenda item, remuneration report 2019, please now go ahead and ask your question if you have one."
3,ABN AMRO Bank N.V. - ShareholderAnalyst Call,QA,3,Tom de Swaan,Independent Chairman of the Supervisory Board,EXECUTIVES,"[Interpreted] Yes, I can combine this with the vote of the new CEO, if you wish."
4,ABN AMRO Bank N.V. - ShareholderAnalyst Call,QA,4,Unknown Executive,,EXECUTIVES,"Chairman, yes, it's an excellent idea."
